#;SeasonStart;PlayerName;PlayerSalary;Pos;Age;Tm;FG%;PTS
8035;1986;A.C. Green;;PF;22;LAL;53,9;521
8420;1987;A.C. Green;;PF;23;LAL;53,8;852
8807;1988;A.C. Green;;PF;24;LAL;50,3;937
9242;1989;A.C. Green;;PF;25;LAL;52,9;1088
9688;1990;A.C. Green;$1,750,000.00 ;PF;26;LAL;47,8;1061
10166;1991;A.C. Green;$1,750,000.00 ;PF;27;LAL;47,6;750
10617;1992;A.C. Green;$1,750,000.00 ;PF;28;LAL;47,6;1116
11060;1993;A.C. Green;$1,885,000.00 ;PF;29;LAL;53,7;1051
11529;1994;A.C. Green;$6,472,600.00 ;PF;30;PHO;50,2;1204
11999;1995;A.C. Green;$6,473,000.00 ;SF;31;PHO;50,4;916
12477;1996;A.C. Green;$4,851,000.00 ;SF;32;PHO;48,4;612
13034;1997;A.C. Green;;PF;33;TOT;48,3;597
13035;1997;A.C. Green;;PF;33;PHO;47,7;153
13036;1997;A.C. Green;;PF;33;DAL;48,6;444
13600;1998;A.C. Green;$5,125,088.00 ;PF;34;DAL;45,3;600
14139;1999;A.C. Green;$1,700,000.00 ;PF;35;DAL;42,2;246
14648;2000;A.C. Green;$2,250,000.00 ;PF;36;LAL;44,7;413
15148;2001;A.C. Green;;PF;37;MIA;44,4;367
14526;2000;A.J. Bramlett;;C;23;CLE;19;8
10130;1991;A.J. English;$325,000.00 ;SG;23;WSB;43,9;616
10583;1992;A.J. English;$406,000.00 ;SG;24;WSB;43,3;886
15151;2001;A.J. Guyton;$465,850.00 ;PG;22;CHI;40,6;198
15684;2002;A.J. Guyton;$18,748.00 ;PG;23;CHI;36,1;244
16172;2003;A.J. Guyton;;PG;24;GSW;0;0
24304;2017;A.J. Hammons;$1,312,611.00 ;C;24;DAL;40,5;48
20357;2010;A.J. Price;$762,195.00 ;PG;23;IND;41;410
20966;2011;A.J. Price;$854,389.00 ;PG;24;IND;35,6;323
21529;2012;A.J. Price;$885,120.00 ;PG;25;IND;33,9;172
22100;2013;A.J. Price;;PG;26;WAS;39;441
22709;2014;A.J. Price;$62,552.00 ;SG;27;MIN;41,3;44
23334;2015;A.J. Price;;PG;28;TOT;37,2;133
23335;2015;A.J. Price;;PG;28;IND;43,8;105
23336;2015;A.J. Price;;PG;28;CLE;26,5;22
23337;2015;A.J. Price;;PG;28;PHO;21,4;6
10446;1991;A.J. Wynder;$130,000.00 ;PG;26;BOS;25;12
3175;1971;A.W. Holt;;SF;24;CHI;12,5;4
18815;2008;Aaron Brooks;$1,045,560.00 ;PG;23;HOU;41,3;264
19415;2009;Aaron Brooks;$1,118,520.00 ;PG;24;HOU;40,4;894
19996;2010;Aaron Brooks;;PG;25;HOU;43,2;1604
20592;2011;Aaron Brooks;;PG;26;TOT;37,5;634
20593;2011;Aaron Brooks;;PG;26;HOU;34,6;394
20594;2011;Aaron Brooks;;PG;26;PHO;43;240
21751;2013;Aaron Brooks;$3,396,250.00 ;PG;28;TOT;45,3;376
21752;2013;Aaron Brooks;$3,396,250.00 ;PG;28;SAC;45,9;366
21753;2013;Aaron Brooks;$3,396,250.00 ;PG;28;HOU;30,8;10
22337;2014;Aaron Brooks;;PG;29;TOT;40,1;645
22338;2014;Aaron Brooks;;PG;29;HOU;39,5;299
22339;2014;Aaron Brooks;;PG;29;DEN;40,6;346
22939;2015;Aaron Brooks;$2,000,000.00 ;PG;30;CHI;42,1;954
23582;2016;Aaron Brooks;$2,700,000.00 ;PG;31;CHI;40,1;491
24165;2017;Aaron Brooks;$2,116,955.00 ;PG;32;IND;40,3;322
23085;2015;Aaron Gordon;$4,171,680.00 ;PF;19;ORL;44,7;243
23698;2016;Aaron Gordon;$4,351,320.00 ;PF;20;ORL;47,3;719
24289;2017;Aaron Gordon;$5,504,420.00 ;SF;21;ORL;45,4;1019
18949;2008;Aaron Gray;$711,517.00 ;C;23;CHI;50,5;262
19550;2009;Aaron Gray;$1,000,497.00 ;C;24;CHI;48,5;196
20120;2010;Aaron Gray;$1,028,840.00 ;C;25;TOT;51,2;104
20121;2010;Aaron Gray;$1,028,840.00 ;C;25;CHI;38,1;18
20122;2010;Aaron Gray;$1,028,840.00 ;C;25;NOH;55,7;86
20751;2011;Aaron Gray;$2,500,000.00 ;C;26;NOH;56,6;129
21327;2012;Aaron Gray;$2,575,000.00 ;C;27;TOR;51,6;191
21872;2013;Aaron Gray;$2,690,875.00 ;C;28;TOR;53,3;119
